Calendar Year,System Type,Inter/Intra,Commodity,Total Miles,Total Breakout Tanks,Operator Count,Operator Count, VALUEOF(PORTAL_DATE),HL Total Pipe Miles,Miles of Gathering
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,5.67,2,1,18779,2017-03-07 04:06:52,5.67,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,588,5,1,22610,2017-03-07 04:06:52,588,
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,170.43,0,1,22855,2017-03-07 04:06:52,170.43,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,77.5,0,1,26026,2017-03-07 04:06:52,77.5,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,106.43,0,1,30626,2017-03-07 04:06:52,106.43,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,110,0,1,30755,2017-03-07 04:06:52,110,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,17,21,1,30909,2017-03-07 04:06:52,17,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,834.76,0,1,31130,2017-03-07 04:06:52,834.76,
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,537,0,1,31174,2017-03-07 04:06:52,537,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,167,0,1,31270,2017-03-07 04:06:52,167,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,3.32,0,1,31371,2017-03-07 04:06:52,3.32,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,,,1,31517,2017-03-07 04:06:52,,
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,176,0,1,31554,2017-03-07 04:06:52,176,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,11,0,1,31582,2017-03-07 04:06:52,11,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,26.608,0,1,31604,2017-03-07 04:06:52,26.608,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,12184.952,42,1,31618,2017-03-07 04:06:52,12184.952,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,3052.55,97,1,31684,2017-03-07 04:06:52,3052.55,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,16.7,0,1,31778,2017-03-07 04:06:52,16.7,0
